"Senior Secondary Completion and Achievement Information, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
The SSCAI data is intended to provide information on the programs and pathway options offered at each school.  It is not possible to use the SSCAI to derive state-wide data.,,,,,,,,,,,,,,,,,,,,,,,,
Data is provisional as at 7 December 2024.  The VCAA accepts amendments from schools to 2024 unit results and school-based assessments until late February 2025.,,,,,,,,,,,,,,,,,,,,,,,,
"For schools with fewer than four students in VCE, VET, VPC or HES, the number of students is shown as < 4. The associated measures are listed as I/D (insufficient data).",,,,,,,,,,,,,,,,,,,,,,,,
"© Victorian Curriculum and Assessment Authority, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL IDENTIFICATION,,,SCHOOL PROGRAM,,,,,,,STUDENT COHORT,,,,,STUDENT ACHIEVEMENT,,,,,,,,,
School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Number of Higher Education studies (HES) with enrolments,Enrolment(s) in VCE Vocational Major (VM)Êunit(s)_,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in theÊInternationalÊBaccalaureate (IB) Diploma,Enrolment(s) in NorthernÊHemisphere TimetableÊ(NHT) delivery at Units 3Êand 4 levelÊ_,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Number of students enrolled in an School-based Apprenticeship or Traineeship (SBAT),Number of students enrolled in a Higher Education study (HES),Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over,Number of students awarded the Victorian Pathways Certificate (VPC),,
Melton Christian College,,BROOKFIELD,31,12,2,Y,Y,,,106,53,-,< 4,79,100,11,-,70,I/D,26,0.8,< 4,,
Melton Secondary College,,MELTON,39,30,-,Y,Y,,,203,224,5,-,50,83,34,< 4,58,-,24,1.2,10,,
Mentone Girls' Grammar School,,MENTONE,37,10,6,,,,,134,36,-,< 4,99,100,-,16,96,I/D,36,22.2,-,,
Mentone Girls' Sec College,,MENTONE,57,20,-,Y,,,,251,46,< 4,-,88,100,-,7,92,-,32,12.1,-,,
Mentone Grammar School,,MENTONE,61,24,4,Y,,,,352,38,-,< 4,95,99,16,11,100,I/D,35,21.5,-,,
Merbein P-10 College,*,MERBEIN,2,13,-,,,,,6,36,-,-,-,-,-,-,77,-,-,-,-,,
Mercy College,,COBURG,31,17,-,Y,,,,106,28,-,-,97,89,< 4,-,89,-,29,6.2,-,,
Mercy Regional College,,CAMPERDOWN,29,19,-,Y,,,,85,87,9,-,61,100,11,-,94,-,27,5.0,-,,
Mernda Central P-12 College,,MERNDA,44,39,4,Y,,,,174,129,5,< 4,59,100,17,< 4,94,I/D,28,5.7,-,,
Gilson College,*,MERNDA,15,-,-,,,,,14,-,-,-,100,100,-,-,-,-,26,0.0,-,,
Methodist Ladies College,,KEW,61,20,4,Y,,Y,,394,435,-,< 4,99,100,< 4,26,78,I/D,34,22.5,-,,
Mildura Senior College,,MILDURA,81,45,8,Y,Y,,,708,491,30,7,46,94,48,-,84,100,26,2.8,10,,
Mill Park Secondary College,,EPPING,59,31,-,Y,,,,241,126,4,-,72,96,15,< 4,84,-,26,2.4,-,,
Minaret College,,OFFICER,17,-,-,,,,,123,-,-,-,95,100,-,-,-,-,28,3.7,-,,
Minaret College,,SPRINGVALE,20,-,-,,,,,179,-,-,-,92,100,-,-,-,-,26,4.4,-,,
Mirboo North Sec College,,MIRBOO NORTH,32,29,-,Y,Y,,,75,58,6,-,34,95,18,-,67,-,27,1.9,4,,
Monbulk College,,MONBULK,40,31,2,Y,,,,99,86,14,< 4,57,98,14,-,79,I/D,25,5.1,-,,
Monivae College,,HAMILTON,37,23,-,Y,,,,127,131,22,-,43,97,20,-,99,-,27,1.2,-,,
Monterey Secondary College,,FRANKSTON NORTH,26,22,-,Y,Y,,,81,134,-,-,6,88,18,-,76,-,21,4.5,< 4,,
Montmorency Sec College,,MONTMORENCY,58,36,2,Y,,,,230,123,5,< 4,71,98,23,4,98,I/D,31,7.4,-,,
Mooroolbark College,,MOOROOLBARK,52,38,4,Y,,,,220,154,4,< 4,53,91,27,-,64,I/D,28,2.1,-,,
Mordialloc College,,MORDIALLOC,51,34,-,Y,Y,,,204,111,4,-,77,99,18,< 4,78,-,30,7.0,< 4,,
Mornington Secondary College,,MORNINGTON,65,42,-,Y,,,,245,220,13,-,44,98,39,< 4,69,-,27,4.3,-,,
Mortlake College,,MORTLAKE,21,15,2,Y,,,,27,23,6,< 4,43,93,4,-,75,I/D,30,6.5,-,,
Mount Alexander 7-12 Coll,,FLEMINGTON,41,11,-,Y,,,,119,16,-,-,86,90,8,-,72,-,30,4.8,-,,
Mount Beauty Sec College,,MOUNT BEAUTY,28,12,2,Y,Y,,,38,27,< 4,< 4,16,100,< 4,-,90,I/D,26,0.0,< 4,,
Mount Clear College,,MOUNT CLEAR,48,26,6,Y,Y,,,172,187,-,< 4,48,86,20,< 4,77,I/D,26,1.4,< 4,,
Mount Eliza Sec College,,MOUNT ELIZA,38,29,-,Y,Y,,,110,76,8,-,36,98,14,-,82,-,29,4.9,-,,
Mount Erin College,,FRANKSTON SOUTH,47,35,-,Y,,,,116,93,11,-,36,97,24,< 4,84,-,24,2.9,-,,
Mount Evelyn Christian School,,MOUNT EVELYN,38,23,-,Y,,,,99,67,-,-,38,100,23,-,77,-,29,2.1,-,,
Mount Lilydale Mercy College,,LILYDALE,68,36,9,Y,Y,,,330,231,10,7,74,100,38,< 4,92,100,29,2.7,< 4,,
Mount Ridley P-12 College,,CRAIGIEBURN,42,21,-,Y,,,,350,171,< 4,-,71,99,26,-,86,-,24,1.3,-,,
Mount Rowan Secondary College,,WENDOUREE,32,21,-,Y,,,,48,72,< 4,-,48,88,7,-,80,-,28,1.4,-,,
Mount Scopus Memorial College,,BURWOOD,37,14,2,,,,,248,182,< 4,10,98,100,-,6,96,100,37,30.8,-,,
Mount St Joseph Girls' College,,ALTONA,43,16,-,Y,Y,,,197,58,< 4,-,86,98,8,6,100,-,31,7.1,< 4,,
Mount Waverley Sec College,,MOUNT WAVERLEY,67,32,4,Y,Y,,Y,404,70,< 4,< 4,90,100,8,25,85,I/D,31,7.4,< 4,,
Mountain District Comm College,,BORONIA,7,11,-,Y,,,,29,35,-,-,4,89,21,-,71,-,-,-,-,,
Mt Hira College,,KEYSBOROUGH,19,3,-,,,,,71,39,-,-,69,100,-,< 4,94,-,29,0.0,-,,
Mullauna College,,MITCHAM,42,20,2,Y,,,,135,49,-,< 4,69,95,7,< 4,78,I/D,31,6.9,-,,
Murrayville Community College,*,MURRAYVILLE,15,2,-,Y,,,,12,6,-,-,-,86,< 4,-,62,-,28,0.0,-,,
Murtoa P-12 College,,MURTOA,24,17,2,Y,Y,,,40,62,6,< 4,50,100,8,-,99,I/D,26,0.0,-,,
Myrtleford P-12 College,,MYRTLEFORD,24,12,-,Y,Y,,,36,34,4,-,38,90,4,< 4,100,-,24,3.2,< 4,,
Nagle College,,BAIRNSDALE,45,28,-,Y,,,,152,141,4,-,58,99,17,< 4,82,-,28,3.0,-,,
Narre Warren Sth P-12 College,,NARRE WARREN SOUTH,45,38,-,Y,,,,476,293,5,-,59,92,89,< 4,91,-,27,2.3,-,,
Nathalia Secondary College,,NATHALIA,21,15,-,Y,Y,,,22,37,< 4,-,40,90,< 4,-,75,-,20,2.9,< 4,,
Nazareth College,,NOBLE PARK NORTH,42,25,-,Y,Y,,,129,85,< 4,-,69,100,16,< 4,94,-,28,1.8,< 4,,
Neerim District Sec College,,NEERIM SOUTH,19,17,-,Y,Y,,,33,35,11,-,11,89,< 4,-,97,-,19,0.0,< 4,,
Newcomb Secondary College,,NEWCOMB,37,22,-,Y,Y,,,76,85,6,-,14,88,19,-,69,-,25,1.0,< 4,,
Newhaven College,,RHYLL,32,5,2,,,,,156,33,-,< 4,75,99,-,4,95,I/D,30,5.1,-,,
Nhill College,*,NHILL,23,9,2,Y,,,,18,14,< 4,< 4,62,92,< 4,-,97,I/D,23,0.0,-,,
Noble Park Secondary College,,NOBLE PARK,39,20,-,Y,,,,89,68,-,-,68,100,19,< 4,85,-,25,0.5,-,,
North Geelong Sec College,,NORTH GEELONG,58,37,-,Y,Y,,,230,174,< 4,-,39,99,31,-,73,-,27,1.6,< 4,,
Northcote High School,,NORTHCOTE,76,30,4,Y,,,,485,146,-,< 4,88,99,13,11,90,I/D,30,8.5,-,,
Northern Bay P-12 College,,CORIO,40,32,-,Y,Y,,,93,186,19,-,41,89,18,-,64,-,24,2.2,8,,
Northern College of Arts & Tech,,PRESTON EAST,53,29,-,Y,,,,225,315,-,-,39,98,75,-,92,-,27,2.6,-,,
Northside Christian College,,BUNDOORA,38,20,2,Y,,,,58,38,-,< 4,87,100,4,< 4,86,I/D,30,13.1,-,,
Norwood Secondary College,,RINGWOOD,48,28,-,Y,,,,234,144,-,-,55,97,20,-,83,-,29,5.7,-,,
Nossal High School,,BERWICK,45,3,2,,,,,421,19,-,< 4,100,100,-,45,64,I/D,36,27.6,-,,
Notre Dame College,,SHEPPARTON,62,42,2,Y,,,,358,653,30,< 4,61,99,52,< 4,86,I/D,28,4.1,-,,
Numurkah Secondary College,,NUMURKAH,22,15,-,Y,Y,,,30,31,8,-,44,78,< 4,-,63,-,24,0.0,< 4,,
Nunawading Christian College,,NUNAWADING,18,4,-,,,,,68,19,-,-,97,100,-,< 4,100,-,30,7.4,-,,
Oakleigh Grammar,,OAKLEIGH,25,1,-,,,,,95,< 4,-,-,82,97,-,< 4,I/D,-,31,4.7,-,,
Oakwood School,,CAULFIELD NORTH,20,35,-,,Y,,,23,75,4,-,-,-,-,-,47,-,I/D,I/D,9,,
Oberon High School,,ARMSTRONG CREEK,49,28,-,Y,Y,,,168,87,< 4,-,50,97,12,5,71,-,28,4.0,< 4,,
Officer Secondary College,,OFFICER,61,38,-,Y,Y,,,237,140,5,-,52,94,39,< 4,75,-,28,4.2,4,,
OneSchool Global Vic,,MELTON WEST,16,1,-,,,,,115,101,-,-,2,100,-,< 4,98,-,31,7.6,-,,
Orbost Secondary College,,ORBOST,23,12,-,Y,Y,,,57,52,5,-,62,95,4,-,61,-,25,5.6,-,,
Our Lady of Mercy College,,HEIDELBERG,59,26,4,Y,,,,280,135,-,< 4,93,99,8,10,91,I/D,32,9.6,-,,
Our Lady of Sacred Heart Coll,,BENTLEIGH,50,17,2,Y,Y,,,195,112,< 4,< 4,80,98,9,< 4,97,I/D,32,10.1,< 4,,
Our Lady of Sion College,,BOX HILL,44,18,2,Y,Y,,,218,66,-,< 4,93,100,7,11,96,I/D,32,7.8,-,,
Ouyen P-12 College,*,OUYEN,20,8,2,Y,,,,20,24,< 4,< 4,40,100,< 4,-,95,I/D,29,0.0,-,,
Overnewton Anglican Comm Coll,,KEILOR,57,22,4,Y,,,,221,57,-,< 4,90,99,14,5,90,I/D,31,9.2,-,,
Oxley Christian College,,CHIRNSIDE PARK,29,5,-,,,,,99,5,-,-,89,100,-,< 4,100,-,34,21.9,-,,
Ozford College,,MELBOURNE,10,-,-,,,,,34,-,-,-,38,83,-,-,-,-,20,0.0,-,,
Padua College,,MORNINGTON,77,47,-,Y,Y,,,488,309,16,-,62,99,45,< 4,84,-,29,4.6,5,,
Pakenham Secondary College,,PAKENHAM,32,25,2,Y,Y,,,152,106,12,< 4,73,99,22,-,82,I/D,27,1.2,< 4,,
Parade College,,BUNDOORA,61,21,2,Y,,,,506,365,7,< 4,73,99,63,19,86,I/D,30,4.8,-,,
Parkdale Secondary College,,MORDIALLOC,74,42,4,Y,Y,,,362,222,5,< 4,57,99,22,16,97,I/D,30,5.9,-,,
Parkville College,*,PARKVILLE,5,16,-,Y,Y,,,6,107,-,-,-,100,-,-,65,-,-,-,< 4,,
Pascoe Vale Girls Sec College,,PASCOE VALE,43,22,2,Y,,,,217,80,-,< 4,79,94,34,4,82,I/D,27,1.2,-,,
Patterson River Sec College,,SEAFORD,59,51,-,Y,,,,220,151,22,-,46,98,39,-,96,-,27,2.2,-,,
Peninsula Grammar,,MOUNT ELIZA,38,11,16,,,,,220,48,-,10,83,99,-,5,71,75,33,15.1,-,,
Penleigh & Essendon Grammar,,KEILOR EAST,40,2,-,,,,,415,< 4,-,-,96,100,-,57,I/D,-,34,16.3,-,,
Penola Catholic College,,BROADMEADOWS,54,27,-,Y,Y,,,295,331,6,-,76,99,29,5,77,-,28,3.1,< 4,,
Peter Lalor Secondary College,,LALOR,17,24,-,Y,,,,36,94,5,-,23,86,19,-,52,-,-,-,-,,
Phoenix P-12 Comm Coll,,SEBASTOPOL,45,31,-,Y,Y,,,189,198,7,-,44,98,44,-,93,-,27,1.9,< 4,,
Plenty River College,*,SOUTH MORANG,4,1,-,Y,Y,,,18,29,-,-,-,100,6,-,28,-,-,-,7,,
Plenty Valley Christian College,,DOREEN,41,13,4,,,,,106,44,< 4,< 4,71,97,-,< 4,92,I/D,29,5.1,-,,
Point Cook Senior Sec College,,POINT COOK,50,27,-,Y,Y,,,291,212,-,-,71,99,50,< 4,80,-,28,4.0,< 4,,
Portland Secondary College,,PORTLAND,28,20,-,Y,Y,,,106,101,8,-,46,100,16,-,75,-,24,0.4,6,,
Preston Reservoir ACE,,RESERVOIR,4,2,-,Y,Y,,,54,90,-,-,4,80,20,-,63,-,-,-,17,,
Prahran High School,,WINDSOR,46,22,-,Y,,,,169,48,-,-,80,97,< 4,6,79,-,30,5.3,-,,
Presbyterian Ladies' College,,BURWOOD,34,1,2,,,Y,,286,< 4,-,10,99,100,-,62,I/D,100,36,25.9,-,,
Preshil The Margaret Lyttle MS,*,KEW,6,3,-,Y,,Y,,5,5,-,-,74,100,< 4,-,89,-,-,-,-,,
Preston High School,,PRESTON,56,30,4,Y,,,,196,77,< 4,< 4,94,97,5,6,87,I/D,29,4.7,-,,
Princes Hill Sec College,,PRINCES HILL,54,19,-,Y,,,,182,41,-,-,92,98,4,7,89,-,32,11.0,-,,
Pyramid Hill College,*,PYRAMID HILL,3,8,-,,,,,< 4,8,< 4,-,I/D,I/D,-,-,79,-,I/D,I/D,-,,
Rainbow P-12 College,*,RAINBOW,20,11,-,Y,,,,15,15,4,-,33,100,< 4,-,100,-,24,2.9,-,,
Red Cliffs Secondary College,,RED CLIFFS,29,18,-,,,,,43,60,< 4,-,43,86,-,-,78,-,23,0.0,-,,
Red Rock Christian College,*,SUNBURY,12,-,-,,,,,19,-,-,-,27,100,-,-,-,-,27,0.0,-,,
Reservoir High School,,RESERVOIR,45,23,-,Y,Y,,,150,99,-,-,62,94,13,< 4,90,-,28,3.8,-,,
Richmond High School,,RICHMOND,43,16,-,,,,,178,37,< 4,-,78,94,-,< 4,71,-,28,6.2,-,,
Ringwood Secondary College,,RINGWOOD,81,39,4,Y,,,,352,166,17,< 4,71,99,39,10,92,I/D,30,7.9,-,,
River Nile School,,NORTH MELBOURNE,8,7,-,Y,Y,,,39,90,-,-,40,90,26,-,83,-,-,-,< 4,,
Robinvale College,*,ROBINVALE,16,9,-,Y,Y,,,13,19,-,-,-,100,4,-,84,-,23,0.0,-,,
Rochester Secondary College,,ROCHESTER,35,22,2,Y,,,,55,83,5,< 4,56,100,5,-,75,I/D,27,0.9,-,,
Rosebud Secondary College,,ROSEBUD,38,24,-,Y,Y,,,131,108,< 4,-,41,96,7,-,75,-,27,2.2,< 4,,
Rosehill Secondary College,,NIDDRIE,47,21,6,Y,,,,204,73,4,4,70,99,23,< 4,95,100,29,1.7,-,,
Rowville Secondary College,,ROWVILLE,74,51,2,Y,Y,,,374,361,20,< 4,41,96,83,< 4,86,I/D,25,2.1,< 4,,
Roxburgh College,,ROXBURGH PARK,39,16,-,Y,Y,,,238,421,-,-,60,93,57,-,74,-,23,0.7,15,,
Rushworth P-12 College,*,RUSHWORTH,10,13,-,Y,,,,12,30,-,-,-,40,< 4,-,52,-,-,-,-,,
Rutherglen High School,,RUTHERGLEN,24,9,-,Y,,,,56,51,< 4,-,32,100,9,-,79,-,21,0.0,-,,
Ruyton Girls' School,,KEW,44,10,2,,,,,154,37,-,< 4,100,100,-,27,100,I/D,37,30.2,-,,
Sacre Coeur,,GLEN IRIS,27,5,-,,,,,149,7,-,-,99,100,-,16,100,-,35,24.6,-,,
Sacred Heart College,,YARRAWONGA,29,14,-,Y,Y,,,61,44,< 4,-,61,100,6,-,87,-,27,1.2,-,,
Sacred Heart College Geelong,,NEWTOWN,77,31,8,Y,,,,421,169,7,6,76,100,11,8,90,75,30,7.4,-,,
Sacred Heart College Kyneton,,KYNETON,48,21,-,Y,,,,183,160,9,-,81,100,15,4,81,-,30,3.2,-,,
Sacred Heart Girls' College,,HUGHESDALE,56,18,-,Y,,,,206,50,-,-,94,99,10,9,96,-,32,10.6,-,,
Saint Ignatius College,,DRYSDALE,46,22,4,Y,,,,258,80,6,< 4,73,100,21,< 4,91,I/D,30,7.3,-,,
Sale College,,SALE,36,14,-,Y,Y,,,112,63,5,-,58,98,10,-,97,-,24,0.7,< 4,,
Salesian College,,CHADSTONE,48,22,-,Y,Y,,,234,91,< 4,-,84,100,18,5,86,-,32,11.7,< 4,,
Salesian College Sunbury,,SUNBURY,61,31,8,Y,Y,,,339,197,13,4,58,99,40,< 4,76,75,27,1.2,< 4,,
Sandringham College,,SANDRINGHAM,53,28,-,Y,Y,,,230,86,-,-,69,100,13,4,78,-,31,6.9,< 4,,
Santa Maria College,,NORTHCOTE,45,17,2,Y,Y,,,197,22,-,< 4,90,100,< 4,7,98,I/D,30,8.9,-,,
Scoresby Secondary College,,SCORESBY,30,13,-,Y,Y,,,38,32,< 4,-,48,100,8,-,72,-,28,5.6,< 4,,
Scotch College,,HAWTHORN,47,7,4,,,,,437,12,-,14,99,100,-,87,83,100,34,22.6,-,,
SEDA College,,CAMBERWELL,10,7,-,Y,,,,721,719,< 4,-,12,99,316,-,99,-,-,-,-,,
Seymour College,,SEYMOUR,40,26,-,Y,Y,,,97,103,10,-,38,92,23,< 4,100,-,25,1.7,4,,
Shelford Girls' Grammar,,CAULFIELD NORTH,31,2,-,,,,,62,< 4,-,-,100,100,-,9,I/D,-,34,20.7,-,,
Shepparton ACE Sec College,*,SHEPPARTON,7,11,-,Y,,,,11,42,5,-,-,89,6,-,88,-,-,-,-,,
Shepparton Christian College,,SHEPPARTON,24,8,-,Y,,,,30,17,< 4,-,38,100,< 4,< 4,79,-,28,3.0,-,,
Sherbrooke Community School,*,SASSAFRAS,16,11,-,Y,,,,14,18,-,-,42,92,< 4,-,79,-,26,0.0,-,,
Siena College,,CAMBERWELL,45,13,-,,,,,180,21,< 4,-,95,100,-,9,79,-,35,21.0,-,,
Simonds Catholic College,,WEST MELBOURNE,34,12,-,Y,,,,94,22,-,-,83,98,10,6,80,-,30,6.5,-,,
Sirius College - Eastmeadows,,BROADMEADOWS,23,2,8,,,,,180,21,-,4,96,98,-,< 4,97,100,31,10.7,-,,
Sirius College - Ibrahim Dellal,,SUNSHINE WEST,14,-,-,,,,,88,-,-,-,98,100,-,< 4,-,-,30,7.3,-,,
Sirius College - Keysborough,,KEYSBOROUGH,18,2,-,,,,,88,< 4,-,-,100,100,-,< 4,I/D,-,28,6.9,-,,
Sirius College - Meadow Fair,,BROADMEADOWS,19,1,-,,,,,140,11,-,-,90,100,-,< 4,100,-,29,11.7,-,,
Somerville Secondary College,,SOMERVILLE,39,22,2,Y,,,,59,63,4,< 4,63,100,7,-,64,I/D,28,0.0,-,,
South Oakleigh Sec College,,OAKLEIGH SOUTH,50,27,-,Y,,,,121,64,-,-,63,98,14,< 4,86,-,29,2.0,-,,
South West Institute of TAFE,,WARRNAMBOOL,10,13,-,Y,Y,,,23,39,< 4,-,-,89,16,-,67,-,I/D,I/D,< 4,,
Southern Cross Grammar,,CAROLINE SPRINGS,37,11,2,Y,,,,127,28,-,< 4,86,100,< 4,-,99,I/D,29,4.6,-,,
Springside West Sec College,,FRASER RISE,58,37,-,Y,Y,,,228,116,14,-,75,95,31,< 4,77,-,26,1.8,5,,
St Albans Secondary College,,ST ALBANS,54,26,-,Y,,,,325,215,-,-,80,94,56,19,69,-,31,8.8,-,,
St Aloysius College,,NORTH MELBOURNE,42,15,-,Y,,,,104,46,-,-,97,100,8,5,100,-,31,8.6,-,,
St Andrews Christian College,,WANTIRNA SOUTH,34,11,2,,,,,83,30,-,< 4,96,100,-,< 4,96,I/D,34,20.1,-,,
St Anne's College,,KIALLA,42,25,2,Y,,,,62,43,5,< 4,60,96,10,-,69,I/D,25,0.7,-,,
St Arnaud Secondary College,,ST ARNAUD,15,7,-,Y,Y,,,22,21,-,-,40,80,-,-,68,-,26,0.0,< 4,,
St Augustine's College,,KYABRAM,29,17,-,Y,Y,,,88,40,< 4,-,70,98,7,-,87,-,27,1.5,-,,
St Bede's College,,MENTONE,61,30,-,Y,,,,374,127,10,-,71,99,35,4,79,-,30,6.9,-,,
St Bernard's College,,ESSENDON,58,22,-,Y,Y,,,363,142,5,-,74,99,25,9,95,-,31,8.0,-,,
St Brigid's College,,HORSHAM,27,12,4,Y,Y,,,47,26,< 4,5,69,100,4,-,100,100,27,1.9,-,,
St Catherine's School,,TOORAK,34,5,12,,,,,132,5,-,8,97,100,-,28,70,100,36,30.8,-,,
St Columba's College,,ESSENDON,58,28,-,Y,,,,229,110,< 4,-,91,99,15,12,99,-,31,7.0,-,,
St Francis Catholic College,,MELTON,47,28,-,Y,Y,,,211,246,-,-,72,99,18,-,81,-,29,3.0,4,,
St Francis Xavier College,,BEACONSFIELD,80,40,4,Y,Y,,,600,327,20,< 4,72,99,33,4,80,I/D,27,3.6,9,,
St Helena Secondary College,,ELTHAM,67,33,-,Y,Y,,,372,205,5,-,76,96,21,< 4,71,-,29,5.3,< 4,,
St John's Greek Orth College,,PRESTON,19,7,-,,,,,23,7,-,-,76,100,-,< 4,91,-,27,1.3,-,,
St John's Regional College,,DANDENONG,39,21,-,Y,,,,106,74,< 4,-,85,97,9,< 4,82,-,27,3.0,-,,
St Joseph's College,,ECHUCA,45,19,-,Y,Y,,,197,202,-,-,65,95,5,-,86,-,28,1.0,< 4,,
St Joseph's College,,FERNTREE GULLY,45,23,2,Y,,,,237,251,< 4,< 4,62,100,42,4,83,I/D,32,8.8,-,,
St Joseph's College,,MILDURA,50,21,-,Y,Y,,,129,75,7,-,63,99,10,< 4,86,-,26,2.9,< 4,,
St Joseph's College,,NEWTOWN,65,37,2,Y,Y,,,465,259,30,< 4,54,100,31,< 4,97,I/D,30,5.8,< 4,,
St Kevin's College,,TOORAK,40,11,4,,,,,379,21,-,< 4,97,100,-,31,100,I/D,35,23.7,-,,
St Leonard's College,,BRIGHTON EAST,45,11,2,,,Y,,241,24,-,< 4,96,100,-,8,96,I/D,34,15.6,-,,
St Margaret's School,,BERWICK,34,3,-,,,,,82,5,-,-,93,97,-,< 4,97,-,33,12.8,-,,
St Mary MacKillop College,,SWAN HILL,30,14,-,Y,Y,,,93,110,8,-,69,100,8,-,93,-,29,5.0,7,,
St Mary of the Angels School,,NATHALIA,51,34,-,Y,Y,,,145,73,20,-,62,99,22,-,72,-,26,2.1,-,,
St Mary's College,*,SEYMOUR,7,17,-,,,,,17,48,< 4,-,-,-,-,-,70,-,36,37.5,-,,
St Mary's College Melbourne,,ST KILDA EAST,52,21,-,Y,,,,115,35,4,-,68,97,12,< 4,87,-,28,3.3,-,,
St Mary's Coptic Orth College,,COOLAROO,23,3,-,,,,,87,20,-,-,93,100,-,-,91,-,29,12.8,-,,
St Michael's Grammar School,,ST KILDA,48,13,-,,,,Y,218,19,-,-,93,100,-,10,92,-,33,13.1,-,,
St Monica's College,,EPPING,66,33,2,Y,Y,,,439,390,< 4,< 4,76,100,47,8,89,I/D,29,3.8,< 4,,
St Patrick's College,,BALLARAT,45,18,-,Y,,,,276,165,11,-,64,98,18,< 4,97,-,28,5.3,-,,
St Paul's Anglican Grammar Schl,,WARRAGUL,37,13,-,,,,,147,52,< 4,-,80,100,-,6,96,-,30,6.7,-,,
St Peter's College,,CRANBOURNE,67,32,8,Y,Y,,,421,256,11,5,75,98,31,< 4,70,88,26,2.3,< 4,,
St Thomas Aquinas College,*,TYNONG,16,4,-,,,,,18,5,-,-,55,100,-,< 4,88,-,26,0.0,-,,
Star of the Sea College,,BRIGHTON,60,22,-,Y,,,,319,67,-,-,96,100,12,6,89,-,34,18.8,-,,
Staughton College,,MELTON SOUTH,37,30,-,Y,Y,,,174,183,-,-,53,95,45,-,67,-,25,1.5,< 4,,
Stawell Secondary College,,STAWELL,22,20,-,Y,,,,53,68,9,-,23,91,14,-,57,-,23,2.4,-,,
Strathcona Baptist Girls GS,,CANTERBURY,42,16,2,,,,,183,29,-,< 4,98,100,-,21,91,I/D,34,19.9,-,,
Strathmore Secondary College,,STRATHMORE,64,19,2,Y,,,,446,74,12,< 4,80,99,10,13,33,I/D,30,5.9,-,,
Sunbury College,,SUNBURY,45,25,3,Y,,,,221,185,< 4,< 4,45,100,47,-,83,I/D,27,1.3,-,,
Sunbury Downs Sec College,,SUNBURY,26,17,-,Y,Y,,,91,75,< 4,-,61,96,12,-,83,-,28,3.9,-,,
Sunraysia Institute of TAFE,*,MILDURA,10,13,-,Y,Y,,,12,27,-,-,-,50,< 4,-,68,-,-,-,< 4,,
Sunshine College,,SUNSHINE WEST,44,17,-,Y,Y,,,272,112,-,-,75,98,32,< 4,89,-,26,1.5,4,,
Surf Coast Sec College,,TORQUAY,56,40,8,Y,,,,221,229,26,4,43,99,58,< 4,81,100,28,4.1,-,,
Suzanne Cory High School,,WERRIBEE,36,-,8,,,Y,,451,-,-,5,100,100,-,38,-,100,34,19.0,-,,
Swan Hill College,,SWAN HILL,38,23,-,Y,Y,,,144,189,11,-,65,99,11,< 4,82,-,26,1.8,5,,
Swifts Creek P-12 School,*,SWIFTS CREEK,14,8,-,Y,Y,,,11,13,4,-,33,100,< 4,-,88,-,29,7.1,4,,
Swinburne Senior Sec College,,HAWTHORN,61,26,2,Y,,,,247,76,-,< 4,65,96,13,< 4,75,I/D,28,3.7,-,,
Swinburne Uni of Tech - TAFE,,CROYDON,10,17,-,Y,,,,27,42,-,-,9,45,5,-,65,-,-,-,-,,
Sydney Road Community School,*,BRUNSWICK,16,7,-,Y,Y,,,17,13,< 4,-,25,92,6,-,61,-,22,0.0,-,,
TAFE Gippsland,,SALE,21,17,-,Y,,,,51,44,-,-,14,79,12,-,63,-,21,0.0,-,,
Tallangatta Secondary College,,TALLANGATTA,25,21,-,Y,,,,43,62,8,-,24,100,13,-,100,-,27,0.0,-,,
Tarneit Senior College,,TARNEIT,59,34,-,Y,Y,,,426,212,9,-,67,98,53,< 4,44,-,23,0.7,6,,
Taylors Lakes Sec College,,TAYLORS LAKES,54,30,4,Y,Y,,,281,179,4,< 4,80,99,40,< 4,84,I/D,29,4.4,-,,
Templestowe College,,TEMPLESTOWE LOWER,76,42,6,Y,Y,,,351,174,5,< 4,50,98,40,< 4,90,I/D,28,7.0,-,,
Terang College Sec Campus,,TERANG,20,13,-,Y,Y,,,26,15,< 4,-,39,100,4,-,96,-,26,6.5,< 4,,
The Bendigo Kangan Institute,,BROADMEADOWS,7,16,-,Y,Y,,,63,149,-,-,7,65,37,-,60,-,-,-,< 4,,
