"Senior Secondary Completion and Achievement Information, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
The SSCAI data is intended to provide information on the programs and pathway options offered at each school.  It is not possible to use the SSCAI to derive state-wide data.,,,,,,,,,,,,,,,,,,,,,,,,
Data is provisional as at 7 December 2024.  The VCAA accepts amendments from schools to 2024 unit results and school-based assessments until late February 2025.,,,,,,,,,,,,,,,,,,,,,,,,
"For schools with fewer than four students in VCE, VET, VPC or HES, the number of students is shown as < 4. The associated measures are listed as I/D (insufficient data).",,,,,,,,,,,,,,,,,,,,,,,,
"© Victorian Curriculum and Assessment Authority, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL IDENTIFICATION,,,SCHOOL PROGRAM,,,,,,,STUDENT COHORT,,,,,STUDENT ACHIEVEMENT,,,,,,,,,
School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Number of Higher Education studies (HES) with enrolments,Enrolment(s) in VCE Vocational Major (VM)Êunit(s)_,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in theÊInternationalÊBaccalaureate (IB) Diploma,Enrolment(s) in NorthernÊHemisphere TimetableÊ(NHT) delivery at Units 3Êand 4 levelÊ_,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Number of students enrolled in an School-based Apprenticeship or Traineeship (SBAT),Number of students enrolled in a Higher Education study (HES),Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over,Number of students awarded the Victorian Pathways Certificate (VPC),,
Belgrave Heights Christian Schl,,BELGRAVE HEIGHTS,46,22,4,Y,,,,145,65,5,< 4,78,100,9,< 4,80,I/D,29,2.4,-,,
Bellarine Secondary College,,DRYSDALE,53,33,2,Y,,,,173,170,18,< 4,45,94,28,< 4,67,I/D,28,4.9,-,,
Belmont High School,,BELMONT,58,31,18,Y,Y,,,277,208,4,10,55,97,12,< 4,94,94,29,4.5,< 4,,
Benalla P-12 College,,BENALLA,28,21,2,Y,,,,70,86,13,< 4,41,98,13,-,70,I/D,24,0.8,-,,
Bendigo Senior Sec College,,BENDIGO,86,47,6,Y,Y,,,1114,741,42,4,42,96,47,4,92,100,27,4.6,13,,
Bendigo TAFE,,BENDIGO,7,13,-,Y,Y,,,22,70,-,-,-,50,8,-,74,-,-,-,-,,
Bentleigh Secondary College,,BENTLEIGH EAST,73,30,18,Y,Y,,,253,116,7,11,64,92,16,< 4,74,89,30,5.6,-,,
Berwick Grammar School,,OFFICER,27,4,-,,,,,39,< 4,-,-,90,100,-,< 4,I/D,-,31,9.2,-,,
Berwick Secondary College,,BERWICK,49,28,6,Y,,,,334,136,8,< 4,61,97,36,-,94,I/D,29,2.6,-,,
Beth Rivkah Ladies College,,ST KILDA EAST,18,3,-,Y,,,,61,61,-,-,61,100,7,-,100,-,35,23.5,-,,
Bialik College,,HAWTHORN,37,17,2,,,,,171,98,-,6,99,100,-,10,96,100,36,29.7,-,,
Billanook College,,MOOROOLBARK,44,15,6,,,,,181,53,-,< 4,93,100,-,5,99,I/D,31,7.0,-,,
Bindjiroo Yaluk Community School,*,RICHMOND,12,6,-,Y,,,,12,15,-,-,-,50,< 4,-,21,-,-,-,-,,
Birchip P-12 School,,BIRCHIP,23,11,-,Y,Y,,,39,29,< 4,-,53,100,5,-,100,-,31,10.4,< 4,,
Blackburn High School,,BLACKBURN,67,31,4,Y,,,,284,87,< 4,< 4,78,100,17,11,84,I/D,31,8.1,-,,
Boort District P-12 School,,BOORT,30,14,-,Y,,,,45,24,< 4,-,70,96,4,-,96,-,30,6.2,-,,
Boronia K-12 College,,BORONIA,30,18,2,Y,Y,,,54,44,< 4,< 4,66,92,7,-,73,I/D,27,0.8,< 4,,
Box Hill High School,,BOX HILL,53,26,2,Y,,,,406,57,5,< 4,89,98,10,17,87,I/D,32,11.8,-,,
Box Hill Institute,,BOX HILL,18,20,-,Y,Y,,,101,101,6,-,2,95,52,-,82,-,-,-,8,,
Box Hill Institute - CAE campus,,MELBOURNE,20,1,-,Y,,,,107,< 4,-,-,47,81,-,-,I/D,-,27,3.1,-,,
Box Hill Senior Sec College,,MONT ALBERT NORTH,42,22,-,Y,,,,105,73,4,-,46,97,18,-,67,-,28,0.7,-,,
Braemar College,,WOODEND,46,9,-,,,,,204,50,4,-,83,99,-,8,90,-,32,7.2,-,,
Brauer College,,WARRNAMBOOL,41,33,2,Y,Y,,,205,162,11,< 4,43,96,16,< 4,94,I/D,28,3.7,< 4,,
Braybrook College,,BRAYBROOK,42,14,-,Y,,,,296,323,< 4,-,83,98,42,16,93,-,31,8.1,-,,
Brentwood Secondary College,,GLEN WAVERLEY,74,34,8,Y,,,,436,107,< 4,4,83,100,15,20,87,100,30,5.9,-,,
Bright P-12 College,,BRIGHT,31,16,-,Y,,,,60,49,7,-,44,97,4,< 4,100,-,29,5.1,-,,
Brighton Grammar School,,BRIGHTON,38,9,-,Y,,,,286,15,-,-,93,100,-,24,82,-,35,24.3,-,,
Brighton Secondary College,,BRIGHTON EAST,58,24,-,Y,Y,Y,,241,59,-,-,85,99,4,6,89,-,30,6.3,-,,
Broadford Secondary College,,BROADFORD,53,24,2,Y,Y,,,132,107,13,< 4,54,98,27,< 4,62,I/D,22,0.7,9,,
Brunswick Secondary College,,BRUNSWICK,52,21,2,Y,,,,229,79,< 4,< 4,77,97,14,6,82,I/D,30,8.8,-,,
Buckley Park College,,ESSENDON,50,21,-,Y,,,,197,49,6,-,83,99,8,7,63,-,29,5.7,-,,
Bundoora Secondary College,,BUNDOORA,41,31,4,Y,Y,,,114,112,-,< 4,41,89,9,-,74,I/D,26,1.7,< 4,,
